Project ID	Assay type	Project title	Project description	Public accession	Journal	Total runs	Processed runs	Related phenotypes	Related phenotype IDs
PRJNA687361	16S	Correlations between the patient microbiome with response and development of immune mediated adverse effects to immunotherapy in lung cancer	Immune checkpoint inhibitors comprise a rapidly burgeoning treatment modality in multiple cancers, but outcomes to treatment, including tumor regression/response and immune-mediated adverse events, are highly variable for as yet unclear reasons. Our project seeks to identify any associations tying fecal, oral and respiratory microbiomes to immunotherapy treatment response and toxicities in lung cancer, as well as each other.	34256732	BMC Cancer	28	28	Lung Neoplasms	D008175
PRJNA736821	16S	Study of gut microbial diversity in lung cancer	Exploring the relationship between gut microbial diversity and the development of lung cancer using 16s rRNA technology	34527604	Frontiers in Cellular and Infection Microbiology	58	79	Health;Lung Neoplasms	D006262;D008175
PRJNA900790	ITS	Effect of Nivolumab Immunotherapy on Metastatic Lung Cancer in Human Microbiome	Nivolumab, a type of immunotherapy, has enhanced the 5-year survival of patients with renal cell cancer, melanoma, and lung cancer which is now mechanistically understood. However, relatively sparse information assesses its relationship with shaping the gut microbiome. We aimed to assess the degree to which nivolumab treatment contributes to alterations in the species composition of the colon in lung cancer patients undergoing nivolumab treatment. Our pilot study utilized stool samples of five lung cancer patients at Inland Hematology Oncology (IHO) before administration of nivolumab and three months after initiation of treatment. 16S and ITS rRNA sequence analysis were used to assess alterations in species abundance and richness of the colon. After sequencing, statistical analysis, specifically a paired t-test, was performed to assess if any significant differences in any microbial species were observed before and after immunotherapy treatment. Although different proportions of microorganisms existed at baseline prior to treatment for each patient, a significant reduction in the Megasphaera elsdenii population was observed (p=.0488; n=4), when comparing before and after treatment. Our findings differ from that of Huang et. al (2022), who has recently posited that a positive association exists between Megasphaera elsdenii and the survival of patients with pancreatic ductal adenocarcinomas. Our conclusions suggest that different cancers may elicit differential effects on Megasphaera elsdenii in the gut microbiome.	10.1101/2023.01.03.522679	bioRxiv	0	5	Lung Neoplasms	D008175
PRJNA586753	16S	Microbiota characterization in Lung Cancer	16s rRNA gene sequencing on pulmonar, oral, and faecal samples from Spanish lung cancer patients and controls.	32620417	Archivos de Bronconeumología	18	18	Lung Neoplasms	D008175
PRJNA698746	16S	Human gut microbiome in esophageal cancer	To characterise the fecal microbiome in 15 esophageal squamous cell carcinoma (ESCC) patients and 16 healthy control subjects using 16S rRNA gene sequencing	35816164	Journal of Gastroenterology and Hepatology	31	31	Esophageal Squamous Cell Carcinoma;Health	D000077277;D006262
PRJNA833670	16S	Female gut microbiota	Endometrial cancer	36227107	Microbiology Spectrum	36	36	Endometrial Neoplasms;Health	D006262;D016889
PRJNA639644	16S	Gut microbiome analysis as a predictive marker for the gastric cancer patients	Environmental Microbiology 16 S r RNA reads	33404833	Applied Microbiology and Biotechnology	0	173	Colorectal Neoplasms;Gastrointestinal Neoplasms;Health	D005770;D006262;D015179
PRJNA747177	16S	Comprehensive analysis of salivary and gut microbiota of Thai colorectal cancer subjects: a pilot study	We explore microbial communities in multiple body sites (saliva, feces, colons, or tissues) of CRCs and polyps compared to normal individuals using the 16S rRNA gene sequencing approach.	NA	NA	34	34	Adenomatous Polyps;Colorectal Neoplasms;Health	D006262;D015179;D018256
PRJNA758208	WGS	A discovery cohort of 49 normal controls and 48 advanced adenoma patients, and a training cohort of 50 normal controls, 46 advanced adenoma patients and 30 colorectal cancer patients	Non-invasive progressive disease markers and indexes for colorectal adenoma and colorectal cancer based on intestinal microbiome	36572910	Cell and Bioscience	223	223	Adenomatous Polyps;Colorectal Neoplasms;Health	D006262;D015179;D018256
PRJNA290926	16S	Microbiome analysis complements fecal occult blood test for improved detection	Using microbiome-based models to differentiate healthy patients from those with colonic lesions.	27842559	Microbiome	539	539	Adenomatous Polyps;Colorectal Neoplasms;Health	D006262;D015179;D018256
PRJEB7774	WGS	Gut microbiome development along the colorectal adenoma-carcinoma sequence	Colorectal cancer, a commonly diagnosed cancer in the elderly, often develops slowly from benign polyps called adenoma. The gut microbiota, with its critical roles in nutrient metabolism and immune modulation, is believed to be directly involved in colorectal carcinogenesis. The identity and functional capacity of the adenoma- or carcinoma-related gut microbe(s), however, have not been surveyed in a comprehensive manner. Here we perform metagenomewide association study (MGWAS) on stools from healthy controls, advanced adenoma and carcinoma patients, revealing gene markers from over 100 bacterial strains enriched in each group.	25758642	Nature Communications	312	312	Adenomatous Polyps;Colorectal Neoplasms;Health	D006262;D015179;D018256
PRJNA447983	WGS	Whole-metagenome shotgun sequencing of two Italian fecal CRC cohorts	We used state-of-the-art whole-metagenome shotgun sequencing analysis methods to uniformly quantify taxonomic and functional abundance in fecal CRC metagenomes from 140 participants recruited in two new Italian cohorts.	30936548	Nature Medicine	140	140	Adenomatous Polyps;Colorectal Neoplasms;Health	D006262;D015179;D018256
PRJDB11246	16S	Identification of gut bacteria enriched in colorectal cancer patients with the ability to promote tumorigenesis via butyrate secretion	The study object is to identify gut bacteria having a potential to promote tumorigenesis from gut bacteria exclusively increasing in patients with colorectal cancer.	34584098	Nature Communications	1182	1182	Colorectal Neoplasms;Health	D006262;D015179
PRJEB36789	16S	The colorectal cancer-associated faecal microbiome of developing countries resembles that of developed countries	Background The incidence of colorectal cancer (CRC) is increasing in developing countries, yet limited research on the CRC- associated microbiota has been conducted in these areas, in part due to scarce resources, facilities, and the difficulty of fresh or frozen stool storage/transport. Here, we aimed 1) to establish a broad representation of diverse developing countries (Argentina, Chile, India, and Vietnam); 2) to validate a ‘resource-light’ sample-collection protocol translatable in these settings using guaiac faecal occult blood test (gFOBT) cards stored and, importantly, shipped internationally at room temperature; 3) to perform initial profiling of the collective CRC-associated microbiome of these developing countries; and 4) to compare this quantitatively with established CRC biomarkers from developed countries. Methods We assessed the effect of international storage and transport at room temperature by replicating gFOBT from five UK volunteers, storing two in the UK, and sending replicates to institutes in the four countries. Next, to determine the effect of prolonged UK storage, DNA extraction replicates for a subset of samples were performed up to 252 days apart. To profile the CRC-associated microbiome of developing countries, gFOBT were collected from 41 treatment-naïve CRC patients and 40 non-CRC controls from across the four institutes, and V4 16S rRNA gene sequencing was performed. Finally, we constructed a random forest (RF) model that was trained and tested against existing datasets from developed countries. Results The microbiome was stably assayed when samples were stored/transported at room temperature and after prolonged UK storage. Large-scale microbiome structure was separated by country and continent, with a smaller effect from CRC. Importantly, the RF model performed similarly to models trained using external datasets, and identified similar taxa of importance ( Parvimonas , Peptostreptococcus , Fusobacterium , Alistipes , and Escherichia ). Conclusions This study demonstrates that gFOBT, stored and transported at room temperature, represents a suitable method of faecal sample collection for amplicon-based microbiome biomarkers in developing countries, and suggests a CRC-faecal microbiome association that is consistent between developed and developing countries	33593386	Genome Medicine	155	155	Colorectal Neoplasms;Health	D006262;D015179
